Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;rarity_score_final
1;Bulbasaur;wild;2.70;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.34;6.00;1.76;0.62
2;Ivysaur;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;1.76;0.00
3;Venusaur;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
4;Charmander;wild;2.63;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.13;6.00;1.76;0.60
5;Charmeleon;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
6;Charizard;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
7;Squirtle;wild;2.68;Should Always Trade;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.29;6.00;1.76;0.62
8;Wartortle;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.02;;1.76;0.00
9;Blastoise;evolution-only;0.88;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;1.76;0.00
10;Caterpie;wild;6.51;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;1.52;8.00;10.00;5.29
11;Metapod;evolution-only;2.40;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.09;;4.71;0.05
12;Butterfree;evolution-only;0.89;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.01;;1.76;0.00
13;Weedle;wild;7.19;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;3.56;8.00;10.00;6.42
14;Kakuna;evolution-only;2.46;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.22;;4.71;0.12
15;Beedrill;evolution-only;0.90;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.03;;1.76;0.01
16;Pidgey;wild;9.33;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;7.99;10.00;10.00;9.99
17;Pidgeotto;evolution-only;2.61;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.51;;4.71;0.27
18;Pidgeot;evolution-only;0.91;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.07;;1.76;0.01
19;Rattata;wild;8.51;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;6.53;9.00;10.00;8.63
19;Alolan Rattata;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
20;Raticate;evolution-only;2.59;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.20;;4.98;0.11
20;Alolan Raticate;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
21;Spearow;wild;6.46;Safe to Transfer;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;2.37;7.00;10.00;5.21
22;Fearow;evolution-only;1.80;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.07;;3.53;0.03
23;Ekans;wild;5.57;Depends on Circumstances;Structured Spawn Data, PokemonDB Catch Rate;1.14;;10.00;1.27
24;Arbok;evolution-only;1.78;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.04;;3.53;0.02
25;Pikachu;wild;4.52;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.10;6.00;7.45;2.52
26;Raichu;evolution-only;1.47;Evaluate for Evolution;Structured Spawn Data, PokemonDB Catch Rate;0.00;;2.94;0.00
26;Alolan Raichu;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
27;Sandshrew;wild;5.52;Depends on Circumstances;Structured Spawn Data, Enhanced Curated Data, PokemonDB Catch Rate;0.56;6.00;10.00;3.64
27;Alolan Sandshrew;wild;7.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;10.00;4.44
